,data
114,"SL Learning HubAddress: Blk 267 Tampines Street 21 #01-37  , Singapore 520267 Tel: 64446457		Fax: 	Email: sl@sleducation.edu.sgSupervisor: Lim Shu Ren (Miss)		Main Curriculum: TUTORIAL"
115,"Smart Link Tuition CentreAddress: Blk 501 Jurong West Street 51 #02-263 & #04-263  , Singapore 640501 Tel: 65601338/ 65621338		Fax: 	Email: Supervisor: Seet Siow Luan (Ms)		Main Curriculum: TUTORIAL"
116,"Smart Science LabAddress: 101 Thomson Road #01-32 United Square , Singapore 307591 Tel: 62554551		Fax: 62556442	Email: info@smartsciencelab.com.sgSupervisor: Lim Tow Long		Main Curriculum: ENRICHMENT"
117,"Smarties Enrichment CentreAddress: Blk 473 Tampines Street 43 #02-94  , Singapore 520473 Tel: 67812966		Fax: 67812997	Email: smartiesenrichment@yahoo.com.sgSupervisor: Chiang Wai Ling (Mdm)		Main Curriculum: FINE ARTS"
118,"SmartLab Education CentreAddress: c/o Blk 134 Jurong East St 13 #04-309L  , Singapore 600134 Tel: 65653578		Fax: 	Email: Supervisor: Tan Lay Thiam		Main Curriculum: TUTORIAL"
119,"SmartLab Education Centre (Bishan)Address: Blk 228 Bishan Street 23 #B1-71  , Singapore 570228 Tel: 64592351		Fax: 64592981	Email: Supervisor: Tan Lay Thiam		Main Curriculum: TUTORIAL"
120,"SmartLab Education Centre (Farrer Park)Address: 60 Tessensohn Road, 3rd Storey Civil Service Club @ Tessensohn , Singapore 217664 Tel: 62960233		Fax: 62960234	Email: tony@smartlab.com.sgSupervisor: Tan Lay Thiam		Main Curriculum: TUTORIAL"
121,"SmartLab Education Centre (Hougang)Address: Blk 204 Hougang Street 21 #02-113  , Singapore 530204 Tel: 64877327		Fax: 	Email: Supervisor: Tan Lay Thiam		Main Curriculum: TUTORIAL"
122,"SmartLab Education Centre (Woodlands)Address: Blk 818 Woodlands Street 82 #01-419  , Singapore 730818 Tel: 63632383		Fax: 	Email: tony@smartlab.com.sgSupervisor: Tan Lay Thiam		Main Curriculum: TUTORIAL"
123,"Smartminds Learning Centre (JE) [fka Master Learners Enrichment Centre]Address: Blk 242 Jurong East Street 24 #01-625  , Singapore 600242 Tel: 98752054		Fax: 	Email: admin@masterlearners.com.sgSupervisor: Chan Shirong, Jonathan		Main Curriculum: ENRICHMENT"
124,"Smartminds Learning Centre [fka K-Tuition Learning Centre]Address: Blk 163 Bukit Merah Central #03-3587  , Singapore 150163 Tel: 62782272		Fax: 	Email: Supervisor: Tan Woon Meng, Caroline (Mdm)		Main Curriculum: TUTORIAL"
125,"Smartstart Success Learning CentreAddress: Blk 158 Mei Ling Street #01-84  , Singapore 140158 Tel: 81120270		Fax: 	Email: smartstartsuccess1@gmail.comSupervisor: Tan Kiap Kuoon, Gladys (Mdm)		Main Curriculum: ENRICHMENT"
126,"Smartz Learning Hub [fka Sunny Bunny Montessori Integrated Learning Hub]Address: 850 New Upper Changi Road #02-22 Bedok Community Centre , Singapore 467352 Tel: 62433860		Fax: 	Email: smartzplay@yahoo.com.sgSupervisor: Koh Siew Eng (Mdm)		Main Curriculum: ENRICHMENT"
127,"Smile Asia Education CentreAddress: 420 North Bridge Road #03-01 North Bridge Centre , Singapore 188727 Tel: 63334417		Fax: 	Email: info@smileasia.sgSupervisor: Endo Hitomi (Miss)		Main Curriculum: LINGUISTICS"
128,"Social Scientist AcademyAddress: Blk 265 Serangoon Central Drive #02-271  , Singapore 550265 Tel: 62950692		Fax: 	Email: socialscientistacdemy@gmail.comSupervisor: Thong Gui Hong, Benjamin		Main Curriculum: TUTORIAL"
129,"Solomon Learning CentreAddress: Blk 273 Bukit Batok East Avenue 4 #02-82  , Singapore 650273 Tel: 65674363		Fax: 	Email: jingliang@tp.com.sgSupervisor: Lim Jing Liang		Main Curriculum: TUTORIAL"
130,"Solomon Learning Centre (Jurong East)Address: Blk 131 Jurong East Street 13 #04-243  , Singapore 600131 Tel: 65674363		Fax: 	Email: regis.education@gmail.comSupervisor: Wang Ying Yang		Main Curriculum: TUTORIAL"
131,"Sonare Music SchoolAddress: (Main) 21 Hougang Street 51 #02-04/05 Hougang Green Shopping Mall , Singapore 538719 Tel: 65473456/65473233		Fax: 	Email: sonaremusic@hotmail.sgSupervisor: Yeo Chui Neo, Agnes (Mdm)		Main Curriculum: FINE ARTS"
132,"Sonare Music SchoolAddress: 1 Sengkang Square #03-24 Compass One , Singapore 545078 Tel: 65473456		Fax: 	Email: sonaremusic@hotmail.sgSupervisor: Yeo Chui Neo, Agnes (Mdm)		Main Curriculum: FINE ARTS"
133,"Sonata Music SchoolAddress: Blk 140 Teck Whye Lane #02-353 & #02-357  , Singapore 680140 Tel: 67653174		Fax: 67625035	Email: sonata.mh@pacific.net.sgSupervisor: Lim Chin Kai		Main Curriculum: FINE ARTS"
134,"Soroban Education CentreAddress: 20 Kramat Lane #03-10 United House , Singapore 228773 Tel: 67359855		Fax: 	Email: Supervisor: Wong Sang Peow (Miss)		Main Curriculum: TUTORIAL"
135,"South Yishun Tuition CentreAddress: Blk 845 Yishun Street 81 #03-184  , Singapore 760845 Tel: 67527371		Fax: 	Email: Supervisor: Mary Tan (Mdm)		Main Curriculum: TUTORIAL"
136,"Spanish AcademyAddress: 101 Thomson Road #01-73/74/75/76 United Square , Singapore 307591 Tel: 6908803		Fax: 	Email: info@spanishacademy.com.sgSupervisor: Yeung Lee Ting, Alice (Mdm)		Main Curriculum: LINGUISTICS"
137,"Sparkle Learning CentreAddress: 587 Bukit Timah Road #03-12 Coronation Plaza , Singapore 269707 Tel: 97468844		Fax: 	Email: gek_ong@yahoo.com.sgSupervisor: Ong Ah Gek (Mdm)		Main Curriculum: TUTORIAL"
138,"Spring Ahead Education CentreAddress: Blk 116 Jalan Bukit Merah #01-1629  , Singapore 160116 Tel: 62701368		Fax: 	Email: springaheadsingapore@gmail.comSupervisor: Tay Ya Ying, Cheryl (Miss)		Main Curriculum: TUTORIAL"
139,"Spring Tuition CentreAddress: Blk 824 Tampines Street 81 #01-18  , Singapore 520824 Tel: 67846742		Fax: 67847790	Email: spring18@pacific.net.sgSupervisor: Teo Hwee Ying, Euni (Mdm)		Main Curriculum: TUTORIAL"
140,"Square Education StudioAddress: 1 Marine Parade Central #08-09 Parkway Centre , Singapore 449408 Tel: 68449003		Fax: 68449013	Email: sjhf0809@yahoo.comSupervisor: Lim Lay Har (Miss)		Main Curriculum: TUTORIAL"
141,"St Andrew's Centre for Early Childhood EducationAddress: 41 Ceylon Road  , Singapore 429630 Tel: 63454210		Fax: 62874507/63440851	Email: c/o kindergarten@ascension.org.sgSupervisor: Koh Hock Seng		Main Curriculum: OTHERS"
142,"St George Learning CentreAddress: Blk 3 St George's Road #01-101  , Singapore 320003 Tel: 63924889		Fax: 63924889	Email: enquiries@mylittlebeavers.com.sgSupervisor: Lim Tien Leng, Flavian		Main Curriculum: ENRICHMENT"
143,"St. Paul Learning CentreAddress: Blk 846 Yishun Ring Road #01-3611 & #01-3613 (2nd Storey)  , Singapore 760846 Tel: 97367849		Fax: 	Email: jo-114@hotmail.comSupervisor: Josephine d/o P J Subramaniyam (Ms)		Main Curriculum: TUTORIAL"
144,"Stag Match Tuition CentreAddress: 20 Bedok North Street 2 #03-08 Fengshan Community Club , Singapore 469644 Tel: 98450665		Fax: 	Email: stagmatch@gmail.comSupervisor: Wong Heqin		Main Curriculum: TUTORIAL"
145,"Stalford Learning Centre (AMK)Address: 53 Ang Mo Kio Avenue 3 #03-05/06  , Singapore 569933 Tel: 67533533		Fax: 67528769	Email: ruby@stalford.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
146,"Stalford Learning Centre (Jurong East)Address: Blk 131 Jurong East Street 13 #04-255  , Singapore 600131 Tel: 62923397/68993233		Fax: 62922887/65691800	Email: stalfordlearning@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
147,"Stalford Learning Centre (New Upper Changi Road)Address: Blk 209 New Upper Changi Road #04-635  , Singapore 460209 Tel: 64463233		Fax: 64433763	Email: stalfordlearning@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
148,"Stalford Learning Centre (Rivervale)Address: 11 Rivervale Crescent #02-09 Rivervale Mall , Singapore 545082 Tel: 63883887		Fax: 68817521	Email: teoruby@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
149,"Stalford Learning Centre (Sengkang)Address: Blk 319B Anchorvale Drive #01-90  , Singapore 542319 Tel: 67933233		Fax: 67923912	Email: stalfordlearning@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
150,"Stalford Learning Centre (Tampines)Address: Blk 201E Tampines Street 23 #04-98  , Singapore 527201 Tel: 62923397/67811277		Fax: 62922887/67822208	Email: stalfordlearning@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
151,"Stalford Learning Centre (Tiong Bahru Branch)Address: 302 Tiong Bahru Road #05-06 Tiong Bahru Plaza , Singapore 168732 Tel: 62723233		Fax: 62709664	Email: stalfordlearning@yahoo.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
152,"Stalford Learning Centre (Yishun)Address: 930 Yishun Avenue 2 #02-22 Northpoint , Singapore 769098 Tel: 64813233		Fax: 65553690	Email: ruby@stalford.com.sgSupervisor: Teo Siew Kim, Ruby (Miss)		Main Curriculum: TUTORIAL"
153,"Stamford Learning CentreAddress: 1 Sophia Road #05-05 Peace Centre , Singapore 228149 Tel: 63364264		Fax: 	Email: stamfordlearningcentre@gmail.comSupervisor: Vimala d/o Veerayyan (Ms)		Main Curriculum: TUTORIAL"
154,"Star River Language SchoolAddress: 302 Tiong Bahru Road #02-144 Tiong Bahru Plaza , Singapore 168732 Tel: 62710064		Fax: 	Email: info.starriver@gmail.comSupervisor: Li Xiurong (Mdm)		Main Curriculum: LINGUISTICS"
155,"Star Zest Education Center [fka Inno Education Center]Address: Blk 55 Chai Chee Drive #01-182  , Singapore 460055 Tel: 62463423		Fax: 	Email: innoeducationsg@gmail.comSupervisor: Qiao Chengyan		Main Curriculum: TUTORIAL"
156,"Stargazer Enrichment CentreAddress: Blk 265 Bukit Batok East Avenue 4 #01-389  , Singapore 650265 Tel: 65631088		Fax: 	Email: stargazerenrichment@gmail.comSupervisor: Oh Ban Wah		Main Curriculum: TUTORIAL"
157,"Starland Learning HouseAddress: Blk 29A Chai Chee Avenue #01-74  , Singapore 461029 Tel: 62417009		Fax: 62417009	Email: starland29a@yahoo.comSupervisor: Chua Poh Cheong		Main Curriculum: TUTORIAL"
158,"Starscape EducationAddress: 271 Bukit Timah Road #B1-05 Balmoral Plaza , Singapore 259708 Tel: 67372720		Fax: 	Email: phleek@gmail.comSupervisor: Chiang Li-Hua (Mdm)		Main Curriculum: TUTORIAL"
159,"Stellar Tuition CentreAddress: Blk 151A Serangoon North Avenue 2 #02-87  , Singapore 551151 Tel: 62816990		Fax: 	Email: Supervisor: Sim Wai Leng (Ms)		Main Curriculum: TUTORIAL"
160,"Stepping Stones Learning CentreAddress: (Main) Blk 145 Teck Whye Avenue #01-159  , Singapore 680145 Tel: 67639798		Fax: 	Email: contact@steppingstones.com.sgSupervisor: Sio Kah Pik, Allyson (Miss)		Main Curriculum: TUTORIAL"
161,"Stepping Stones Learning CentreAddress: Blk 258 Bukit Panjang Ring Road #01-52 (2nd Storey)  , Singapore 670258 Tel: 67362660		Fax: 	Email: contact@steppingstones.com.sgSupervisor: Sio Kah Pik, Allyson (Miss)		Main Curriculum: TUTORIAL"
162,"Strand Tutorial SchoolAddress: 587 Bukit Timah Road #03-32 Coronation Plaza , Singapore 269707 Tel: 64673186		Fax: 62867731	Email: strand@singnet.com.sgSupervisor: Ong Kian Seng, Patrick		Main Curriculum: TUTORIAL"
163,"Student First Education CentreAddress: 144 Upper Bukit Timah Road #03-13 Beauty World Centre , Singapore 588177 Tel: 69046769		Fax: 	Email: contact@studentfirsteducation.com.sgSupervisor: Wang Wan Shing (Ms)		Main Curriculum: TUTORIAL"
164,"Studio Haroobee School of Visual ArtAddress: (Main) 8 Raffles Avenue #02-20 Esplanade Mall , Singapore 039802 Tel: 63369611		Fax: 63369610	Email: admin@studioharoobee.edu.sgSupervisor: Goh Chye Yin (Mdm)		Main Curriculum: FINE ARTS"
165,"Studio Haroobee School of Visual ArtAddress: 1 Fusionopolis Way #02-11/12 Connexis , Singapore 138632 Tel: 63369611		Fax: 63369610	Email: admin@studioharoobee.edu.sgSupervisor: Goh Chye Yin (Mdm)		Main Curriculum: FINE ARTS"
166,"Study RoomAddress: Blk 206 Toa Payoh North #01-1227  , Singapore 310206 Tel: 63541847		Fax: 	Email: enquiries@studyroom.sgSupervisor: Wong Wai Kean, Wallace		Main Curriculum: TUTORIAL"
167,"StudyworksAddress: 559 Bukit Timah Road #02-02B King's Arcade , Singapore 269695 Tel: 64682621		Fax: 64686782	Email: info@studyworks.com.sgSupervisor: Yap Ying Hiang, Vera (Mdm)		Main Curriculum: TUTORIAL"
168,"Success Education CentreAddress: Blk 171 Stirling Road #01-1111  , Singapore 140171 Tel: 64736490		Fax: 	Email: successtirling@gmail.comSupervisor: Leong Siew Fung (Ms)		Main Curriculum: TUTORIAL"
169,"Success Education PlaceAddress: Blk 3 Beach Road #01-4835  , Singapore 190003 Tel: 90056819		Fax: 65208545	Email: shumei129@hotmail.comSupervisor: Cui Shumei (Mdm)		Main Curriculum: TUTORIAL"
170,"Success EduhubAddress: 112 East Coast Road #02-06 Katong Mall , Singapore 428802 Tel: 63448090		Fax: 63448090	Email: success_eduhub@yahoo.com.sgSupervisor: Tan Joo Lee (Mdm)		Main Curriculum: TUTORIAL"
171,"Success Language School [fka Success Tuition Centre]Address: Blk 574 Ang Mo Kio Avenue 10 #01-1827  , Singapore 560574 Tel: 65544600		Fax: 65544900	Email: cgtuition@gmail.comSupervisor: Tan Cheng Leong		Main Curriculum: ENRICHMENT"
172,"Success Learning CentreAddress: Blk 524 Serangoon North Avenue 4 #B1-46  , Singapore 550524 Tel: 64846028		Fax: 	Email: Supervisor: Pauline Ann Lee Hui Cheng (Mdm)		Main Curriculum: TUTORIAL"
173,"Success.NAT Tutorial CentreAddress: Blk 107 Serangoon North Avenue 1 #01-683  , Singapore 550107 Tel: 		Fax: 	Email: success.nat@gmail.comSupervisor: Poh Sze Wee (Miss)		Main Curriculum: TUTORIAL"
174,"Suczest Education CentreAddress: Blk 431 Clementi Avenue 3 #01-354  , Singapore 120431 Tel: 67741909		Fax: 	Email: chuabc8@yahoo.com.sgSupervisor: Chua Boon Chai		Main Curriculum: TUTORIAL"
175,"SummerNotes School of MusicAddress: Blk 501 Jurong West Street 51 #04-257  , Singapore 640501 Tel: 65691728		Fax: 65691728	Email: admin@summernotes.comSupervisor: Wong Yew Fai		Main Curriculum: FINE ARTS"
176,"Summerville Language CentreAddress: 511 Guillemard Road #02-21 Grandlink Square , Singapore 399849 Tel: 67456855		Fax: 63850576	Email: summerville@pacific.net.sgSupervisor: Rita Rani d/o Dorai Luise (Mdm)		Main Curriculum: LINGUISTICS"
177,"Sun Friends Learning CentreAddress: Blk 305 Ubi Avenue 1 #02-165  , Singapore 400305 Tel: 65471175		Fax: 	Email: sebtck@hotmail.comSupervisor: Tan Chee Kiang		Main Curriculum: TUTORIAL"
178,"Sundai Linden SchoolAddress: c/o 1 Grange Road #13-01 Orchard Building , Singapore 239693 Tel: 62352221		Fax: 67343314	Email: Supervisor: Hideyasu Nagashima		Main Curriculum: TUTORIAL"
179,"Sunflower Education CentreAddress: 1 Marine Parade Central #09-09 Parkway Centre , Singapore 449408 Tel: 63461185		Fax: 63461185	Email: info@sunflower.edu.sgSupervisor: Ong Kok Eng		Main Curriculum: LINGUISTICS"
180,"Sunshine Kidz Education CentreAddress: 112 East Coast Road #04-35 Katong Mall , Singapore 428802 Tel: 63480985		Fax: 63480986	Email: enquiries@sunshinekidz.com.sgSupervisor: Tan Chun-Lee, Jennifer (Ms)		Main Curriculum: TUTORIAL"
181,"Super Education Tuition CentreAddress: Blk 138 Pasir Ris Street 11 #01-207  , Singapore 510138 Tel: 65817480		Fax: 	Email: llchin26@gmail.comSupervisor: Chin Lee Li (Miss)		Main Curriculum: TUTORIAL"
182,"Superkids Learning CentreAddress: 10 Jalan Serene #02-09/10/11 Serene Centre , Singapore 258748 Tel: 67655516		Fax: 67656569	Email: patcheo@akltg.comSupervisor: Cheo Boon Thiam		Main Curriculum: ENRICHMENT"
183,"Suzuki Talent Education CentreAddress: Blk 135 Jurong East Street 13 #03-341  , Singapore 600135 Tel: 65609997		Fax: 65671635	Email: crestar@singnet.com.sgSupervisor: Woo Saw Han (Ms)		Main Curriculum: FINE ARTS"
184,"Sylvia McCully School of DancingAddress: 301 Upper Thomson Road #03-21 Thomson Plaza , Singapore 574408 Tel: 64576995		Fax: 	Email: sylviamccully@yahoo.comSupervisor: Sylvia Anne McCully (Mdm)		Main Curriculum: FINE ARTS"
185,"Symphony Music SchoolAddress: 1 Woodlands Square #05-04 Causeway Point , Singapore 738099 Tel: 68933373		Fax: 68933130	Email: Symphony.michael@gmail.comSupervisor: Chew Sze Ming (Mdm)		Main Curriculum: FINE ARTS"
186,"T United Education Hub @ QueenswayAddress: Blk 168A Queensway #01-222  , Singapore 140168 Tel: 64722308		Fax: 64723608	Email: tunitedqueensway@gmail.comSupervisor: Lee Guay Hiang (Mdm)		Main Curriculum: TUTORIAL"
187,"Tabernacle Knowledge Educentre [fka Adroit Learning Centre]Address: Blk 811 Jurong West Street 81 #01-64  , Singapore 640811 Tel: 67942585		Fax: 67908701	Email: Supervisor: Seah Christine (Mdm)		Main Curriculum: TUTORIAL"
188,"Tamilcube Learning CentreAddress: 48 Race Course Road (2nd  Storey Mezzanine)  , Singapore 218560 Tel: 66186567		Fax: 	Email: hitamil@tsmilcube.comSupervisor: Alagupillai Thiruvupillai		Main Curriculum: TUTORIAL"
189,"Tampines St 83 Learning CentreAddress: Blk 866A Tampines Street 83 #03-06 Tampines Central Community Complex , Singapore 521866 Tel: 67852025		Fax: 	Email: serenetbh@yahoo.com.sgSupervisor: Tan Beng Hwee, Serene (Mdm)		Main Curriculum: ENRICHMENT"
190,"Tanglewood Music SchoolAddress: 11 Unity Street #02-17 Robertson Walk , Singapore 237995 Tel: 67331730		Fax: 67331730	Email: Supervisor: Karen Yap Wei Ling (Mdm)		Main Curriculum: FINE ARTS"
191,"Tanz Ballet @ The BallettschuleAddress: 12 West Coast Walk #02-24  , Singapore 127157 Tel: 		Fax: 	Email: victoriancherry@yahoo.comSupervisor: Tan Lay Suan, Cheryl (Miss)		Main Curriculum: FINE ARTS"
192,"Tao Man Yuan Enrichment and Tuition CentreAddress: Blk 158 Bedok South Avenue 3 #01-591  , Singapore 460158 Tel: 90286069		Fax: 	Email: wentianjing@sina.comSupervisor: Wen Tianjing (Mdm)		Main Curriculum: ENRICHMENT"
193,"Taylors Arts Studio [fka Taylors-Encore Arts Studio]Address: 215/215A Upper Thomson Road  , Singapore 574349 Tel: 82238443		Fax: 82238443	Email: herbertchee@yahoo.com.sgSupervisor: Chee Seow Chie @Herbert Chee		Main Curriculum: FINE ARTS"
194,"TD Education CentreAddress: 540 Sims Avenue #02-01 Sims Avenue Centre , Singapore 387603 Tel: 67489001		Fax: 67489001	Email: info@tdgrp.com.sgSupervisor: Gao Dan (Miss)		Main Curriculum: ENRICHMENT"
195,"Teacher Ping School of MusicAddress: 321 Alexandra  Road #03-19 Alexandra Central , Singapore 159971 Tel: 97373627		Fax: 	Email: start@teacherping.comSupervisor: Goo Chui Ping (Miss)		Main Curriculum: FINE ARTS"
196,"Tender.Love.Care. Learning CentreAddress: Blk 415 Pandan Gardens Road #01-111  , Singapore 600415 Tel: 68975632		Fax: 65624569	Email: Supervisor: Toh Chia Seng		Main Curriculum: TUTORIAL"
197,"TEP Educational CentreAddress: Blk 104C Depot Road #01-04  , Singapore 103104 Tel: 62780522		Fax: 62780276	Email: Supervisor: Song Bee Luan (Mdm)		Main Curriculum: TUTORIAL"
198,"TET Education CentreAddress: 587 Bukit Timah Road #03-15 Coronation Plaza #03-13 & #03-14, Singapore 269707 Tel: 90706248		Fax: 	Email: thateconstutor@gmail.comSupervisor: Koh Kint Hock, Melvin		Main Curriculum: TUTORIAL"
199,"Thankyou Teacher Learning Home [fka Mr Cheah Tuition Home]Address: 6 Sin Ming Road #01-13 Sin Ming Plaza Tower 2 , Singapore 575585 Tel: 64536011		Fax: 64536011	Email: lotus7_3@hotmail.comSupervisor: Cheah Fah Loong		Main Curriculum: TUTORIAL"
200,"That Chemistry Guy @ NLC Education HubAddress: 35 Rochester Drive #03-05A The Rochester , Singapore 138639 Tel: 94521937		Fax: 	Email: singaporeboatman@hotmail.comSupervisor: Soh Yong Bin, Matthew		Main Curriculum: TUTORIAL"
201,"The Academic CoveAddress: 183 Jalan Pelikat #B2-23 The Promenade@Pelikat , Singapore 537643 Tel: 91289929		Fax: 	Email: contact@theacademiccove.comSupervisor: Chan Hui Lin, Yvonne (Mdm)		Main Curriculum: TUTORIAL"
202,"The Annexe Project Educational CentreAddress: Blk 844 Sims Avenue #01-716  , Singapore 400844 Tel: 65732802		Fax: 	Email: enquiries@annexeproject.comSupervisor: Yeo Jie Hao, Alvin		Main Curriculum: TUTORIAL"
203,"The Arc Learning CentreAddress: 60 Paya Lebar Road #B1-37/40/41 Paya Lebar Square , Singapore 409051 Tel: 63849123		Fax: 63849183	Email: thearclearning@gmail.comSupervisor: Vinod Kanyalal Nandwani		Main Curriculum: TUTORIAL"
204,"The Art of Learning Chinese Enrichment CentreAddress: 6 Palm Road #01-02A Siglap South Community Centre , Singapore 456441 Tel: 64482118		Fax: 	Email: info@talc.com.sgSupervisor: Loh Wan Chin, Brigid Ann Isabel (Mdm)		Main Curriculum: ENRICHMENT"
205,"The Arts Attic CentreAddress: Blk 153 Bukit Batok Street 11 #04-288  , Singapore 650153 Tel: 65623280		Fax: 65606802	Email: jSupervisor: Low Lian Choo, Polly (Mdm)		Main Curriculum: ENRICHMENT"
206,"The Chalkboard AcademyAddress: Blk 82 Marine Parade Central #01-614 (2nd Storey)  , Singapore 440082 Tel: 61001241		Fax: 	Email: huixian@thechalkboardacademy.com.sgSupervisor: Loh Hui Hsien (Mdm)		Main Curriculum: TUTORIAL"
207,"The Class RoomAddress: Blk 806 Hougang Central #04-154  , Singapore 530806 Tel: 90694729		Fax: 	Email: Jeremy@the-class-room.comSupervisor: Neo Chee Keong, Jeremy		Main Curriculum: TUTORIAL"
208,"The Cognitive Hub Education CentreAddress: 12A Chun Tin Road  , Singapore 599599 Tel: 86234392		Fax: 	Email: info@cognitivehub.comSupervisor: Phang Shin Onn, Raphael		Main Curriculum: TUTORIAL"
209,"The Counting Space Learning HubAddress: 1187 Upper Serangoon Road #01-66 The Midtown , Singapore 533971 Tel: 91909800		Fax: 	Email: hello@thecountingspace.com.sgSupervisor: Pear Sze Shan, Susan (Miss)		Main Curriculum: TUTORIAL"
210,"The Early Intervention CentreAddress: 1 Goldhill Plaza #02-09  , Singapore 308899 Tel: 63528606		Fax: 63583106	Email: info@eic.sgSupervisor: Tsai Pei Qi, Veronica (Miss)		Main Curriculum: ENRICHMENT"
211,"The Edge Learning CenterAddress: 51 Bras Basah Road #02-04 Manulife Centre , Singapore 189554 Tel: 62655054		Fax: 	Email: enquiry@theedgelearning.com.sgSupervisor: Khoo Teck Kim		Main Curriculum: TUTORIAL"
212,"The Enrichment ClassroomAddress: (Main) 30 Bukit Batok Street 31 #01-02 Hong Kah North Community Club , Singapore 659440 Tel: 65618292		Fax: 	Email: gombak@enrichment.com.sgSupervisor: Tan I Lian, Irene (Mdm)		Main Curriculum: ENRICHMENT"
213,"The Enrichment ClassroomAddress: 2 Sembawang Crescent #04-01 Canberra Commuity Club , Singapore 757632 Tel: 64811186		Fax: 	Email: canberra@enrichment.com.sgSupervisor: Tan I Lian, Irene (Mdm)		Main Curriculum: ENRICHMENT"
214,"The Enrichment ClassroomAddress: 20 Jurong West Street 93 #02-08 Jurong West Sports & Recreation Centre , Singapore 648965 Tel: 67950758		Fax: 	Email: pioneer@enrichment.com.sgSupervisor: Tan I Lian, Irene (Mdm)		Main Curriculum: ENRICHMENT"
215,"The GrayMatter Education CentreAddress: 420 North Bridge Road #02-10 North Bridge Centre , Singapore 188727 Tel: 63368054		Fax: 	Email: contactus@gmeducation.comSupervisor: Kit Leng Wah (Mdm)		Main Curriculum: TUTORIAL"
216,"The GrayMatter Education Centre (Farrer)Address: Blk 3 Queen's Road #02-165  , Singapore 260003 Tel: 65131433		Fax: 	Email: kit@gmeducation.comSupervisor: Kit Leng Wah (Mdm)		Main Curriculum: TUTORIAL"
217,"The Junior Learners Learning CentreAddress: (Main) Blk 147 Potong Pasir Avenue 1 #02-91  , Singapore 350147 Tel: 62855181		Fax: 	Email: junior_learners@yahoo.com.sgSupervisor: Ng Bee Ling (Mdm)		Main Curriculum: ENRICHMENT"
218,"The Junior Learners Learning CentreAddress: Blk 443 Pasir Ris Drive 6 #03-04  , Singapore 510443 Tel: 62142282		Fax: 	Email: junior_learners@yahoo.com.sgSupervisor: Ng Bee Ling (Mdm)		Main Curriculum: ENRICHMENT"
219,"The Knowledge Key Tuition CentreAddress: 170 Upper Bukit Timah Road #B2-03 Bukit Timah Shopping Centre , Singapore 588179 Tel: 64678568		Fax: 	Email: wiseice@singnet.com.sgSupervisor: Choo Cheng Shyan		Main Curriculum: TUTORIAL"
220,"The Language AcademyAddress: 100 Beach Road #17-08 Shaw Towers , Singapore 189702 Tel: 62933098		Fax: 	Email: tla.enquiry@gmail.comSupervisor: Teo Kay Chee, Lemmy (Dr)		Main Curriculum: LINGUISTICS"
221,"The Language League Learning CentreAddress: Blk 518 Serangoon North Avenue 4 #B1-208  , Singapore 550518 Tel: 64833830		Fax: 	Email: colin@thelanguageleague.com.sgSupervisor: Tan Thian Hock, Colin		Main Curriculum: TUTORIAL"
222,"The Language LearnerAddress: 271 Bukit Timah Road #02-02 Balmoral Plaza , Singapore 259708 Tel: 68870117		Fax: 68870117	Email: thelanguagelearner2003@yahoo.com.sg or sepalika@singnet.com.sgSupervisor: Sepalika Hylinee Kumarasinghe (Mrs)		Main Curriculum: LINGUISTICS"
223,"The Learners' Club Education CenterAddress: 896 Dunearn Road #03-01H Sime Darby Centre , Singapore 589472 Tel: 96794974		Fax: 	Email: chuawailing1@gmail.comSupervisor: Chua Wai Ling (Miss)		Main Curriculum: TUTORIAL"
224,"The Learning Axis (Jing Xin Bu Xi Zhong Xin)Address: Blk 408 Ang Mo Kio Avenue 10 #01-789 (2nd Storey)  , Singapore 560408 Tel: 64527300		Fax: 	Email: Supervisor: Tan Kim Yen (Miss)		Main Curriculum: TUTORIAL"
225,"The Learning Castle Enrichment Hub [fka The Learning Campus Enrichment Hub]Address: Blk 198 Punggol Field #02-04  , Singapore 820198 Tel: 63439125		Fax: 63439537	Email: ziyu@tlcenrichmenthub.com.sgSupervisor: Kasthuri d/o Gunasegaran (Ms)		Main Curriculum: ENRICHMENT"
226,"The Learning CornerAddress: 50 East Coast Road #02-23 & #02-26 Roxy Square , Singapore 428769 Tel: 64406580		Fax: 	Email: tlc.roxysq@gmail.comSupervisor: Ong Ley Khim, Merlina (Mdm)		Main Curriculum: TUTORIAL"
227,"The Learning House [fka Perfect Performance Training Centre]Address: Blk 120 Potong Pasir Avenue 1 #01-810  , Singapore 350120 Tel: 62822711		Fax: 	Email: perfecttraining@gmail.comSupervisor: Wei Hongmin (Mdm)		Main Curriculum: TUTORIAL"
